name,location,content
Golden Rose Hotel,"56 Loseby Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Golden Rose Hotel! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Tọa lạc tại thành phố Đà Nẵng, cách Bãi biển Mỹ Khê 600 m, Golden Rose Hotel cung cấp chỗ nghỉ với sảnh khách chung, chỗ đỗ xe riêng miễn phí và nhà hàng. Khách sạn 4 sao này có dịch vụ tiền sảnh và bàn đặt tour. Chỗ nghỉ cung cấp dịch vụ lễ tân 24 giờ, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.
Các căn gắn máy điều hòa tại khách sạn được bố trí khu vực ghế ngồi, TV màn hình phẳng với các kênh truyền hình vệ tinh, két an toàn và phòng tắm riêng đi kèm vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí cùng máy sấy tóc. Golden Rose Hotel có một số phòng nhìn ra biển và mỗi phòng đều có ấm đun nước. Tất cả các phòng đều đi kèm ga trải giường và khăn tắm.
Golden Rose Hotel nằm cách Cầu Sông Hàn 1,9 km và Cầu khóa Tình yêu 2,6 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm cách khách sạn 6 km."
Dylan Hotel Danang Managed By Marcom Jack Lee,"93 Ha Bong , Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Dylan Hotel Danang Managed By Marcom Jack Lee! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Tọa lạc tại thành phố Đà Nẵng, cách bãi biển Mỹ Khê chưa đầy 1 km, Dylan Hotel Danang Managed By Marcom Jack Lee cung cấp chỗ nghỉ với hồ bơi ngoài trời, chỗ đỗ xe riêng miễn phí, nhà hàng và quầy bar. Khách sạn 4 sao này có một loạt tiện nghi thể thao dưới nước, dịch vụ tiền sảnh, lễ tân 24 giờ, dịch vụ đưa đón sân bay, dịch vụ phòng và WiFi miễn phí trong toàn bộ khuôn viên.
Phòng nghỉ gắn máy điều hòa tại khách sạn có bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tất cả các phòng đều được trang bị tủ để quần áo.
Chỗ nghỉ phục vụ bữa sáng buffet, bữa sáng kiểu lục địa hoặc bữa sáng kiểu Anh/Ailen.
Khu vực này nổi tiếng với các hoạt động đi bộ đường dài và đi xe đạp trong khi du khách có thể thuê xe đạp tại khách sạn 4 sao này.
Dylan Hotel Danang Managed By Marcom Jack Lee nằm cách Bãi biển Bắc Mỹ An 2,6 km và Cầu khóa Tình yêu 2,2 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 5 km từ chỗ nghỉ."
Star City Riverside Hotel By Haviland,"147-149 Tran Hung Dao, Nai Hien Dong, Son Tra, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Star City Riverside Hotel By Haviland! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Nằm bên bờ Sông Hàn, Star City Riverside Hotel By Haviland cung cấp không gian sinh hoạt hiện đại với tầm nhìn ra toàn cảnh thành phố Đà Nẵng. Khách sạn này có nhà hàng & quầy bar trong khuôn viên và WiFi miễn phí ở tất cả các khu vực.
Du khách có thể ngắm nhìn quang cảnh thành phố trong khi thưởng thức các món ăn Việt Nam và quốc tế tại Nhà hàng nằm trên tầng 11.
Tất cả các căn gắn máy điều hòa tại đây đều được trang trí với tông màu trắng pha chút màu xám nhạt của vải và có tầm nhìn ra Cầu Rồng. Trong phòng được trang bị truyền hình vệ tinh màn hình phẳng, máy hút ẩm và minibar. Phòng tắm riêng đi kèm tiện nghi vòi sen, nắp bồn cầu thông minh, máy sấy tóc và đồ vệ sinh cá nhân miễn phí.
Chỗ nghỉ cung cấp dịch vụ lễ tân 24 giờ.
Star City Riverside Hotel By Haviland nằm cách Cầu Sông Hàn 800 m và Bảo tàng Chăm 2,2 km. Bãi biển Mỹ An nằm trong bán kính 5 km từ chỗ nghỉ này. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, cách đó 5 km."
Le House Boutique Hotel,"85 - 87 Ha Bong, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Le House Boutique Hotel! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Nằm trên khu vực Bãi biển Mỹ Khê ở thành phố Đà Nẵng, trong bán kính 2 km từ Cầu Sông Hàn, Le House Boutique Hotel cung cấp các phòng gắn máy điều hòa với Wi-Fi miễn phí toàn khuôn viên. Khách sạn theo phong cách Pháp này có quán bar và bãi đỗ xe riêng miễn phí.
Mỗi phòng tại đây đều được trang bị truyền hình cáp. Một số phòng có khu vực ghế ngồi để khách thư giãn, trong khi một số phòng cho khách tầm nhìn ra quang cảnh biển hoặc thành phố. Các phòng còn đi kèm phòng tắm riêng với bồn tắm/vòi sen, dép và đồ vệ sinh cá nhân miễn phí.
Khách sạn có lễ tân 24 giờ.
Le House Boutique Hotel cách Bảo tàng Chăm 2,4 km và Bãi biển Mỹ An 3 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, cách đó 5 km."
Sapphire Boutique Hotel Da Nang,"19 Le Binh Street, An Hai Bac Ward, Son Tra District, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Sapphire Boutique Hotel Da Nang! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Tọa lạc tại thành phố Đà Nẵng, cách Bãi biển Mỹ Khê 600 m, Sapphire Boutique Hotel Da Nang cung cấp chỗ nghỉ với hồ bơi ngoài trời, chỗ đỗ xe riêng miễn phí, khu vườn và sảnh khách chung. Mỗi chỗ nghỉ tại khách sạn 3 sao này đều có tầm nhìn ra quang cảnh thành phố và du khách có thể thư giãn trên sân hiên. Nơi đây cung cấp dịch vụ lễ tân 24 giờ, dịch vụ đưa đón sân bay, dịch vụ phòng và WiFi miễn phí trong toàn bộ khuôn viên.
Phòng nghỉ tại khách sạn được trang bị máy điều hòa, TV truyền hình vệ tinh màn hình phẳng, tủ lạnh, máy pha cà phê, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các phòng có ấm đun nước, ga trải giường, khăn tắm và phòng tắm riêng với vòi sen cùng máy sấy tóc. Một số phòng được bố trí khu vực bếp nấu ăn.
Cầu Sông Hàn nằm trong bán kính 2,2 km từ Sapphire Boutique Hotel Da Nang trong khi Cầu khóa Tình yêu cách đó 2,7 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, cách chỗ nghỉ 6 km."
Essenza Hotel Đà Nẵng,"37 An Thượng 33, Đà Nẵng, Việt Nam","Located in Da Nang, 300 metres from My Khe Beach, Essenza Hotel Đà Nẵng provides air-conditioned rooms and a terrace. This 3-star hotel offers a shared kitchen and room service. The accommodation features a 24-hour front desk, a tour desk and currency exchange for guests.
Guest rooms in the hotel are equipped with a kettle. Each room is fitted with a flat-screen TV, and certain rooms at Essenza Hotel Đà Nẵng have a balcony.
Bac My An Beach is less than 1 km from the accommodation, while Love Lock Bridge Da Nang is 2.9 km away. The nearest airport is Da Nang International Airport, 6 km from Essenza Hotel Đà Nẵng."
Seashore Hotel & Apartment,"Lot 15 - 16 Hoang Sa Opposite Man Thai Beach, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Seashore Hotel & Apartment! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Seashore Hotel & Apartment cung cấp chỗ nghỉ 4 sao hướng biển ở thành phố Đà Nẵng đòng thời có xe đạp miễn phí, hồ bơi ngoài trời và trung tâm thể dục. Khách sạn 4 sao này có WiFi miễn phí, sảnh khách chung và dịch vụ phòng. Khách sạn có sân hiên và tầm nhìn ra quang cảnh thành phố đồng thời du khách có thể dùng bữa tại nhà hàng hay nhâm nhi đồ uống ở quầy bar.
Phòng nghỉ gắn máy điều hòa tại khách sạn được bố trí khu vực ghế ngồi, TV màn hình phẳng với các kênh truyền hình vệ tinh, két an toàn và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí cùng máy sấy tóc. Tất cả các phòng đều được trang bị ấm đun nước trong khi một số phòng đi kèm ban công và các phòng khác cũng có tầm nhìn ra biển. Mỗi phòng tại Seashore Hotel & Apartment đều có ga trải giường và khăn tắm.
Chỗ nghỉ phục vụ bữa sáng buffet, bữa sáng à la carte hoặc bữa sáng kiểu lục địa.
Đội ngũ nhân viên nói tiếng Anh, tiếng Pháp, tiếng Nhật và tiếng Hàn tại quầy lễ tân luôn sẵn lòng cung cấp các thông tin hữu ích về khu vực xung quanh cho du khách.
Chỗ nghỉ nằm cách bãi biển Mỹ Khê vài bước chân và Cầu Sông Hàn 4,2 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm cách Seashore Hotel & Apartment 8 km và chỗ nghỉ cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí."
Angel Hotel Da Nang,"187-189 Ho Nghinh, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Angel Hotel Da Nang! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Nằm cách Bãi biển Mỹ Khê ở Đà Nẵng chỉ 3 phút đi bộ, Angel Hotel Da Nang cung cấp các phòng nghỉ với tầm nhìn ra biển hoặc thành phố. Nơi đây cung cấp dịch vụ mát-xa trong phòng và truy cập WiFi miễn phí.
Khách sạn cách Ngũ Hành Sơn 10 phút lái xe và cách Sân bay Quốc tế Đà Nẵng 15 phút lái xe. Sông Hàn và trung tâm thành phố cách đó 1 km và Phố cổ Hội An cùng Ba Na Hills chỉ cách khách sạn 30 phút lái xe.
Được trang bị khu vực ghế ngồi, các phòng nghỉ có máy điều hòa, TV màn hình phẳng với các kênh truyền hình cáp và phòng tắm riêng với đồ vệ sinh cá nhân cùng máy sấy tóc. Ngoài ra còn đi kèm minibar và tủ quần áo.
Nhà hàng phục vụ các món ăn châu Á và phương Tây và cung cấp dịch vụ phòng đến 22:00.
Khách có thể sử dụng két an toàn tại quầy lễ tân 24 giờ của khách sạn. Khách sạn cũng cung cấp dịch vụ cho thuê xe, dịch vụ đặt vé/tour du lịch và chỗ đỗ xe miễn phí."
(602)Studio room*At walking street near the beach*,"30 An Thượng 2, Đà Nẵng, Việt Nam","(602)Studio room*At walking street near the beach* is located in Da Nang, 600 metres from Bac My An Beach, 3.4 km from Love Lock Bridge Da Nang, as well as 4 km from Asia Park Danang. The accommodation is 300 metres from the My Khe Beach and features free WiFi throughout the property.
This air-conditioned apartment is equipped with 1 bedroom, a flat-screen TV, and a kitchen with a microwave. Towels and bed linen are provided in the apartment.
Cham Museum is 4.1 km from the apartment, while Song Han Bridge is 4.6 km away. The nearest airport is Da Nang International Airport, 7 km from (602)Studio room*At walking street near the beach*."
Halina Hotel and Apartment,"Lot 133.134 Tran Bach Dang Str, My An Ward, Ngu Hanh Son Dist, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Halina Hotel and Apartment! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Tọa lạc tại thành phố Đà Nẵng, cách Cầu tàu Tình yêu 3 km, Halina Hotel and Apartment cung cấp chỗ nghỉ bên bờ biển với nhiều tiện nghi như hồ bơi ngoài trời, phòng xông hơi khô, trung tâm thể dục và quầy bar. Trong số các tiện nghi tại khách sạn này còn có nhà hàng, lễ tân 24 giờ, dịch vụ phòng và WiFi miễn phí. Chỗ nghỉ cũng có sảnh khách chung, trung tâm dịch vụ doanh nhân và dịch vụ thu đổi ngoại tệ cho khách.
Phòng nghỉ của Halina Hotel and Apartment được trang bị khu vực ghế ngồi, bàn làm việc, TV màn hình phẳng và phòng tắm riêng.
Halina Hotel and Apartment nằm cách Bảo tàng Chăm 3,6 km và Cầu Sông Hàn 4,2 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, cách đó 6 km, và khách sạn cung cấp dịch vụ đưa đón sân bay với một khoản phụ phí."
Santori Apartment,"01 Hoa Phượng 1, Đà Nẵng, Việt Nam","Featuring a year-round outdoor pool, Santori Apartment in Da Nang provides accommodation with free WiFi and free private parking for guests who drive.
Fitted with a terrace, the units offer air conditioning and feature a flat-screen TV and a private bathroom with bidet and free toiletries. Some units include a balcony and/or a patio with river views.
Both a bicycle rental service and a car rental service are available at the aparthotel.
My Khe Beach is 2.2 km from Santori Apartment, while Bac My An Beach is 3 km away. The nearest airport is Da Nang International, 6 km from the accommodation, and the property offers a paid airport shuttle service."
Dreamy Sky - Airport View Boutique Hotel,"Cong san bay quoc te Da Nang, Duong Nguyen Van Linh, Da Nang, Đà Nẵng, Việt Nam","Bạn đủ điều kiện nhận giảm giá Genius tại Dreamy Sky - Airport View Boutique Hotel! Để tiết kiệm tại chỗ nghỉ này, bạn chỉ cần đăng nhập.
Tọa lạc tại thành phố Đà Nẵng, Dreamy Sky - Airport View Boutique Hotel cung cấp chỗ nghỉ 2 sao với sảnh khách chung và sân hiên. Khách sạn 2 sao này có khu vườn và phòng nghỉ gắn máy điều hòa với WiFi miễn phí cùng phòng tắm riêng. Chỗ nghỉ cung cấp bếp chung, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách.
Tất cả phòng nghỉ tại khách sạn được trang bị TV truyền hình vệ tinh màn hình phẳng, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và tủ để quần áo. Một số phòng còn có khu vực bếp ăn với tủ lạnh, lò nướng và máy rửa bát. Mỗi phòng đều được bố trí ga trải giường và khăn tắm.
Nhân viên nói tiếng Anh và tiếng Việt tại quầy lễ tân luôn sẵn sàng hỗ trợ du khách.
Dreamy Sky - Airport View Boutique Hotel nằm cách Bãi biển Thanh Bình 2,2 km và Bảo tàng Chăm 2,3 km. Sân bay gần nhất là sân bay quốc tế Đà Nẵng, nằm trong bán kính 1 km từ chỗ nghỉ."
